ID,Chapter-Name,Class,Subject,Sub-Subject
1,Solar System,9,Social,Geography
2,ATOMS,9,Science,Chemistry
3,Heat,7,Science,Physics
4,Electricity,10,Science,Physics
5,Nutrition in plants,7,Science,Biology
6,Nutrition in animals,7,Science,BIology
7,Acids & Bases & Salts,10,Science,Chemistry
8,Soil,7,Science,Chemistry
9,Reproduction in plants,7,Science,Biology
10,Light,7,Science,Physics
11,Crop Prouduction and Management,8,Science,Chemistry
12,Microorganisms,8,Science,Chemistry
13,Synthetic Fibres and Plastics,8,Science,Chemistry
14,Coal and Petroleum,8,Science,Chemistry
15,Metals and Non metals,10,Science,Chemistry
16,Combustion and flame,8,Science,Chemistry
17,Conservation of plants and animals,8,Science,Biology
18,Structure and functions of Cell,8,Science,Biology
19,Reproduction,12,Science,Biology
20,Reaching the age of adolescence,8,Science,Biology
21,Tissues,9,Science,Biology
22,Work & Energy & Power,11,Science,Physics
23,Sound,9,Science,Physics
24,Natural Resources,9,Science,Chemistry
25,Chemical Reactions and Equations,10,Science,Chemistry
26,Carbon and its compounds,10,Science,Chemistry
27,Periodic Classification of Elements,11,Science,Chemistry
28,Life Processes,10,Science,Biology
29,Control and Coordination,10,Science,Biology
30,Heredity and Evolution,12,Science,Biology
31,Light - Reflection and Refraction,10,Science,Physics
32,Human Eye and the colourful world,10,Science,Physics
33,Magnetic effects of electric current,10,Science,Physics
34,Sources of energy,10,Science,Physics
35,Our environment ,10,Science,Physics
36,Sustainable management of natural resources,10,Science,Physics
37,Structure of Atom,11,Science,Chemistry
38,Chemical Bonding,11,Science,Chemistry
39,States of Matter,11,Science,Chemistry
40,Thermodynamics,11,Science,Chemistry
41,Equilibrium,11,Science,Chemistry
42,Diversity in living world,11,Science,Biology
43,Structural organisation in plants and animals,11,Science,Biology
44,Plant Physiology,11,Science,Biology
45,Human Physiology,11,Science,Biology
46,Physical World,11,Science,Physics
47,Units and Measurement,11,Science,Physics
48,Motion in a straight line,11,Science,Physics
49,Motion in a plane,11,Science,Physics
50,Laws of motion,11,Science,Physics
51,System of particles and rotational motion,11,Science,Physics
52,Gravitation,11,Science,Physics
53,Redox Reactions,11,Science,Chemistry
54,Hydrogen,11,Science,Chemistry
55,s Block Elements,11,Science,Chemistry
56,p Block Elements,11,Science,Chemistry
57,Organic Chemistry,11,Science,Chemistry
58,Hydrocarbons,11,Science,Chemistry
59,Environmental Chemistry,11,Science,Chemistry
60,Mechanical Properties of Solids,11,Science,Physics
61,Mechanical Properties of liquids,11,Science,Physics
62,Thermal Properties of Matter,11,Science,Physics
63,Kinetic Theory,11,Science,Physics
64,Oscillations,11,Science,Physics
65,Waves,11,Science,Physics
66,Electric Charges and Fields,12,Science,Physics
67,Electrostatic Potential and Capacitance,12,Science,Physics
68,Current Electricity,12,Science,Physics
69,Moving charges and magnetism,12,Science,Physics
70,Magnetism and Matter,12,Science,Physics
71,Electromagnetic Induction,12,Science,Physics
72,Alternating Current,12,Science,Physics
73,Electromagnetic Waves,12,Science,Physics
74,Ray Optics,12,Science,Physics
75,Optical Instruments,12,Science,Physics
76,Wave Optics,12,Science,Physics
77,Dual Nature of Radiation and Matter,12,Science,Physics
78,Nuclei,12,Science,Physics
79,Semiconductor Electronics,12,Science,Physics
80,Biology in Human Welfare,12,Science,Biology
81,Bio Technology,12,Science,Biology
82,Ecology,12,Science,Biology
83,Solid State,12,Science,Chemistry
84,Solutions,12,Science,Chemistry
85,Electrochemistry,12,Science,Chemistry
86,Chemical Kinetics,12,Science,Chemistry
87,Surface Chemistry,12,Science,Chemistry
88,d Block Elements,12,Science,Chemistry
89,f Block Elements,12,Science,Chemistry
90,Coordination Compounds,12,Science,Chemistry
91,Equality in Indian Democracy,7,Social,Politics
92,State Government,7,Social,Politics
93,Gender,7,Social,Politics
94,Media,7,Social,Politics
95,Markets,7,Social,Economics
96,New Kings and Kingdoms,7,Social,History
97,Delhi Sultans,7,Social,History
98,Mughal Empire,7,Social,History
99,Rulers and Buildings,7,Social,History
100,Towns & Traders & Craftspersons,7,Social,History
101,Tribes & Nomads & Settled Communities,7,Social,History
102,Devotional Paths to the divine,7,Social,History
103,Making of Regional Cultures,7,Social,History
104,Eighteenth Century Political Formations,7,Social,History
105,Resources,8,Social,Geography
106,Natural Vegetation and wildlife resources,8,Social,Geography
107,Mineral and power resources,8,Social,Geography
108,Agriculture,8,Social,Geography
109,Industries,8,Social,Geography
110,Human Resources,8,Social,Geography
111,Indian Constituition and Secularism,8,Social,Politics
112,Parliament and Making of Laws,8,Social,Politics
113,The Judiciary,8,Social,Politics
114,Social Justice and The Marginalised,8,Social,Politics
115,Economic Presence of the Government,8,Social,Politics
116,From Trade to Territory,8,Social,History
117,Ruling the Countryside,8,Social,History
118,Tribals & Dikus & Vision of a Golden Age,8,Social,History
119,When People Rebel,8,Social,History
120,Weavers & Iron Smelters & Factory Owners,8,Social,History
121,Civilising the native & Educating the Nation,8,Social,History
122,Women & Caste and Reform,8,Social,History
123,The Making of the National Movement,8,Social,History
124,India After Independence,8,Social,History
125,What is Democracy? Why Democracy?,9,Social,Politics
126,CONSTITUTIONAL DESIGN,9,Social,Politics
127,ELECTORAL POLITICS,9,Social,Politics
128,WORKING OF INSTITUTIONS ,9,Social,Politics
129,DEMOCRATIC RIGHTS,9,Social,Politics
130,India - Size and Location,9,Social,Geography
131,Physical Features of India,9,Social,Geography
132,Drainage ,9,Social,Geography
133,Climate,9,Social,Geography
134,Natural Vegetation and Wildlife of India,9,Social,Geography
135,Population,9,Social,Geography
136,Natural Vegetation and Wildlife ,9,Social,Economics
137,People as Resource,9,Social,Economics
138,Poverty as a challenge,9,Social,Economics
139,Food Security in India,9,Social,Economics
140,French Revolution,9,Social,History
141,Pastoralists in the modern world,9,Social,History
142,Forest Society and Colonialism,9,Social,History
143,Nazism and the rise of Hitler,9,Social,History
144,Socialism in Europe and Russian Revolution,9,Social,History
145,Resources and Development,10,Social,Geography
146,Forest and Wildlife Resources,10,Social,Geography
147,Water Resources,10,Social,Geography
148,Minerals and energy Resources,10,Social,Geography
149,Manufacturing Industries,10,Social,Geography
150,Lifelines of National Economy,10,Social,Geography
151,Rise of Nationalism in Europe,10,Social,History
152,Nationalism in India,10,Social,History
153,The Making of a Global World,10,Social,History
154,The Age of Industrialisation,10,Social,History
155,Print Culture and the Modern World,10,Social,History
156,DEVELOPMENT,10,Social,Economics
157,Sectors of Indian Economy,10,Social,Economics
158,Money and Credit,10,Social,Economics
159,GLOBALISATION AND THE INDIAN ECONOMY,10,Social,Economics
160,CONSUMER RIGHTS,10,Social,Economics
161,Power Sharing,10,Social,Politics
162,Federalism,10,Social,Politics
163,Democracy and Diversity,10,Social,Politics
164,Gender & Religion & Caste,10,Social,Politics
165,Popular struggles amd Movements,10,Social,Politics
166,Political Parties,10,Social,Politics
167,Outcomes of democracy,10,Social,Politics
168,Challenges to democracy,10,Social,Politics
169,Geography as a Discipline,11,Social,Geography
170,The Origin and Evolution of the Earth,11,Social,Geography
171,Interior of the Earth,11,Social,Geography
172,Distribution of Oceans and Continents,11,Social,Geography
173,Minerals and Rocks,11,Social,Geography
174,Geomorphic Processes,11,Social,Geography
175,Landforms and their Evolution,11,Social,Geography
176,Composition and Structure of Atmosphere,11,Social,Geography
177,Solar Radiation & Heat Balance & Temperature,11,Social,Geography
178,Atmospheric Circulation and Weather Systems,11,Social,Geography
179,Water in the Atmosphere,11,Social,Geography
180,World Climate and Climate Change,11,Social,Geography
181,Water (Oceans),11,Social,Geography
182,Movements of Ocean Water,11,Social,Geography
183,Life on the Earth,11,Social,Geography
184,Biodiversity and Conservation,11,Social,Geography
185,INDIAN ECONOMY ON THE EVE OF INDEPENDENCE,11,Social,Economics
186,THE GOALS OF FIVE YEAR PLANS,11,Social,Economics
